filepath,label,speaker_id,dataset_source,attack_type,generator_id,language,channel,split,source_id,augmentation_of,duration_sec
data/raw/real_spk01_01.wav,1,spk01,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk01_01,,3.37
data/raw/real_spk01_02.wav,1,spk01,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk01_02,,2.63
data/raw/fake_replay_spk01_01.wav,0,spk01,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk01_01,,3.36
data/raw/fake_voice_conversion_spk01_02.wav,0,spk01,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk01_02,,3.05
data/raw/real_spk02_01.wav,1,spk02,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk02_01,,2.86
data/raw/real_spk02_02.wav,1,spk02,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk02_02,,2.88
data/raw/fake_voice_conversion_spk02_01.wav,0,spk02,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk02_01,,2.88
data/raw/fake_vocoder_spk02_02.wav,0,spk02,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk02_02,,3.48
data/raw/real_spk03_01.wav,1,spk03,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk03_01,,2.74
data/raw/real_spk03_02.wav,1,spk03,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk03_02,,3.47
data/raw/fake_vocoder_spk03_01.wav,0,spk03,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk03_01,,3.39
data/raw/fake_tts_spk03_02.wav,0,spk03,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk03_02,,2.99
data/raw/real_spk04_01.wav,1,spk04,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk04_01,,3.41
data/raw/real_spk04_02.wav,1,spk04,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk04_02,,2.69
data/raw/fake_tts_spk04_01.wav,0,spk04,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk04_01,,3.09
data/raw/fake_replay_spk04_02.wav,0,spk04,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk04_02,,3.19
data/raw/real_spk05_01.wav,1,spk05,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk05_01,,3.29
data/raw/real_spk05_02.wav,1,spk05,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk05_02,,2.86
data/raw/fake_replay_spk05_01.wav,0,spk05,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk05_01,,3.20
data/raw/fake_voice_conversion_spk05_02.wav,0,spk05,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk05_02,,3.35
data/raw/real_spk06_01.wav,1,spk06,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk06_01,,2.92
data/raw/real_spk06_02.wav,1,spk06,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk06_02,,3.48
