filepath,label,speaker_id,dataset_source,attack_type,generator_id,language,channel,split,source_id,augmentation_of
data/raw/real_spk01_01.wav,1,spk01,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk01_01,
data/raw/real_spk01_02.wav,1,spk01,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk01_02,
data/raw/fake_replay_spk01_01.wav,0,spk01,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk01_01,
data/raw/fake_voice_conversion_spk01_02.wav,0,spk01,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk01_02,
data/raw/real_spk02_01.wav,1,spk02,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk02_01,
data/raw/real_spk02_02.wav,1,spk02,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk02_02,
data/raw/fake_voice_conversion_spk02_01.wav,0,spk02,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk02_01,
data/raw/fake_vocoder_spk02_02.wav,0,spk02,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk02_02,
data/raw/real_spk03_01.wav,1,spk03,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk03_01,
data/raw/real_spk03_02.wav,1,spk03,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk03_02,
data/raw/fake_vocoder_spk03_01.wav,0,spk03,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk03_01,
data/raw/fake_tts_spk03_02.wav,0,spk03,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk03_02,
data/raw/real_spk04_01.wav,1,spk04,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk04_01,
data/raw/real_spk04_02.wav,1,spk04,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk04_02,
data/raw/fake_tts_spk04_01.wav,0,spk04,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk04_01,
data/raw/fake_replay_spk04_02.wav,0,spk04,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk04_02,
data/raw/real_spk05_01.wav,1,spk05,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk05_01,
data/raw/real_spk05_02.wav,1,spk05,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk05_02,
data/raw/fake_replay_spk05_01.wav,0,spk05,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk05_01,
data/raw/fake_voice_conversion_spk05_02.wav,0,spk05,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk05_02,
data/raw/real_spk06_01.wav,1,spk06,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk06_01,
data/raw/real_spk06_02.wav,1,spk06,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk06_02,
data/raw/fake_voice_conversion_spk06_01.wav,0,spk06,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk06_01,
data/raw/fake_vocoder_spk06_02.wav,0,spk06,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk06_02,
data/raw/real_spk07_01.wav,1,spk07,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk07_01,
data/raw/real_spk07_02.wav,1,spk07,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk07_02,
data/raw/fake_vocoder_spk07_01.wav,0,spk07,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk07_01,
data/raw/fake_tts_spk07_02.wav,0,spk07,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk07_02,
data/raw/real_spk08_01.wav,1,spk08,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk08_01,
data/raw/real_spk08_02.wav,1,spk08,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk08_02,
data/raw/fake_tts_spk08_01.wav,0,spk08,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk08_01,
data/raw/fake_replay_spk08_02.wav,0,spk08,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk08_02,
data/raw/real_spk09_01.wav,1,spk09,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk09_01,
data/raw/real_spk09_02.wav,1,spk09,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk09_02,
data/raw/fake_replay_spk09_01.wav,0,spk09,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk09_01,
data/raw/fake_voice_conversion_spk09_02.wav,0,spk09,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk09_02,
data/raw/real_spk10_01.wav,1,spk10,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk10_01,
data/raw/real_spk10_02.wav,1,spk10,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk10_02,
data/raw/fake_voice_conversion_spk10_01.wav,0,spk10,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk10_01,
data/raw/fake_vocoder_spk10_02.wav,0,spk10,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk10_02,
data/raw/real_spk11_01.wav,1,spk11,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk11_01,
data/raw/real_spk11_02.wav,1,spk11,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk11_02,
data/raw/fake_vocoder_spk11_01.wav,0,spk11,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk11_01,
data/raw/fake_tts_spk11_02.wav,0,spk11,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk11_02,
data/raw/real_spk12_01.wav,1,spk12,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk12_01,
data/raw/real_spk12_02.wav,1,spk12,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk12_02,
data/raw/fake_tts_spk12_01.wav,0,spk12,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk12_01,
data/raw/fake_replay_spk12_02.wav,0,spk12,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk12_02,
data/raw/real_spk13_01.wav,1,spk13,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk13_01,
data/raw/real_spk13_02.wav,1,spk13,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk13_02,
data/raw/fake_replay_spk13_01.wav,0,spk13,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk13_01,
data/raw/fake_voice_conversion_spk13_02.wav,0,spk13,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk13_02,
data/raw/real_spk14_01.wav,1,spk14,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk14_01,
data/raw/real_spk14_02.wav,1,spk14,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk14_02,
data/raw/fake_voice_conversion_spk14_01.wav,0,spk14,DEMO_DATA_NOT_FOR_EVALUATION,voice_conversion,synth_voice_conversion,en,synthetic,train,fake_voice_conversion_spk14_01,
data/raw/fake_vocoder_spk14_02.wav,0,spk14,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk14_02,
data/raw/real_spk15_01.wav,1,spk15,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk15_01,
data/raw/real_spk15_02.wav,1,spk15,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk15_02,
data/raw/fake_vocoder_spk15_01.wav,0,spk15,DEMO_DATA_NOT_FOR_EVALUATION,vocoder,synth_vocoder,en,synthetic,train,fake_vocoder_spk15_01,
data/raw/fake_tts_spk15_02.wav,0,spk15,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk15_02,
data/raw/real_spk16_01.wav,1,spk16,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk16_01,
data/raw/real_spk16_02.wav,1,spk16,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk16_02,
data/raw/fake_tts_spk16_01.wav,0,spk16,DEMO_DATA_NOT_FOR_EVALUATION,tts,synth_tts,en,synthetic,train,fake_tts_spk16_01,
data/raw/fake_replay_spk16_02.wav,0,spk16,DEMO_DATA_NOT_FOR_EVALUATION,replay,synth_replay,en,synthetic,train,fake_replay_spk16_02,
data/raw/real_spk17_01.wav,1,spk17,DEMO_DATA_NOT_FOR_EVALUATION,bona_fide,formant_synth,en,synthetic,train,real_spk17_01,
